Account {0}: Parent account {1} can not be a ledger,A {0} számla: Szülő számla {1} nem lehet  főkönyvi számla,
Account {0}: Parent account {1} does not belong to company: {2},A {0} számla: Szülő számla {1} nem tartozik ehhez a céghez: {2},
Account {0}: Parent account {1} does not exist,A {0} számla: Szülő számla {1} nem létezik,
Account {0}: You can not assign itself as parent account,A {0} számla: Nem rendelheti saját szülő számlájának,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,"Fiók: A (z) <b>{0}</b> tőke folyamatban van. Folyamatban van, és a Naplóbejegyzés nem frissítheti",
Account: {0} can only be updated via Stock Transactions,Számla: {0} csak Készlet tranzakciókkal frissíthető,
Account: {0} is not permitted under Payment Entry,Fiók: A (z) {0} nem engedélyezett a fizetési bejegyzés alatt,
Account: {0} with currency: {1} can not be selected,Számla: {0} ebben a pénznemben: {1} nem választható,
Accounting,Könyvelés,
Accounting Details,Számviteli Részletek,
Accounting Dimension,Számviteli dimenzió,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,A (z) <b>{1}</b> számlamérleghez a <b>{0}</b> számviteli dimenzió szükséges.,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,A (z) <b>{0}</b> számviteli dimenzió szükséges a (z) &#39;Profit and veszteség&#39; {1} számlához.,
Accounting Dimension Detail,Számviteli dimenzió részlete,
Accounting Dimensions,Számviteli dimenziók,
Accounting Dimensions ,Számviteli méretek,
Accounting Entries,Könyvelési tételek,
Accounting Entry for Asset,"Vagyontárgy eszköz számviteli, könyvelési tétele",
Accounting Entry for Service,Szolgáltatás könyvelési bejegyzése,
Accounting Entry for Stock,Könyvelési tétel a Készlethez,
Accounting Entry for {0}: {1} can only be made in currency: {2},"Könyvelési tétel ehhez {0}: {1}, csak ebben a pénznem végezhető: {2}",
Accounting Ledger,Számviteli Főkönyvi kivonat,
Accounting Period,Számviteli időszak,
Accounting Period overlaps with {0},A számviteli időszak átfedésben van a (z) {0} -gal,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"A könyvelési bejegyzések mindeddig be vannak zárva. Senki sem hozhat létre vagy módosíthat bejegyzéseket, kivéve az alábbiakban meghatározott szereplőkkel rendelkező felhasználókat",
Accounts,Főkönyvi számlák,
Accounts Frozen Till Date,Fiókok befagyasztva a dátumig,
Accounts Manager,Fiókkezelõ,
Accounts Payable,Beszállítóknak fizetendő számlák,
Accounts Payable Summary,A beszállítók felé fizetendő kötelezettségeink összefoglalása,
Accounts Receivable,Bevételi számlák,
Accounts Receivable Credit Account,Követelési követelések,
Accounts Receivable Discounted Account,Követelések Diszkontált számla,
Accounts Receivable Summary,Vevőtartozás bevétel Összefoglalója,
Accounts Receivable Unpaid Account,Követelések fizetetlen számla,
Accounts Settings,Könyvelés beállításai,
Accounts User,Számlák felhasználó,
Accounts table cannot be blank.,Számlák tábla nem lehet üres.,
Accumulated Depreciation,Halmozott értékcsökkenés,
Accumulated Depreciation Account,Halmozott értékcsökkenés számla,
Accumulated Depreciation Amount,Halmozott értékcsökkenés összege,
Accumulated Depreciation as on,Halmozott értékcsökkenés ekkor,
Accumulated Monthly,Halmozott Havi,
Accumulated Values,Halmozott értékek,
Accumulated Values in Group Company,Csoport vállalat összesített értékei,
Achieved ({}),Elért ({}),
Acquisition Date,Beszerzés dátuma,
Action,Művelet,
Action If Quality Inspection Is Not Submitted,"Teendő, ha a minőségellenőrzést nem nyújtják be",
Action Initialised,Kezdeményezve,
Action if Accumulated Monthly Budget Exceeded on Actual,"Cselekvés, ha a halmozott havi költségkeret meghaladja a tényleges értéket",
Action if Accumulated Monthly Budget Exceeded on MR,"Cselekvés, ha a halmozott havi költségkeret meghaladta az MR értéket",
Action if Accumulated Monthly Budget Exceeded on PO,"Cselekvés, ha a halmozott havi költségkeret meghaladta a PO-t",
Action if Annual Budget Exceeded on Actual,"Cselekvés, ha az éves költségvetés meghaladja a tényleges keretet",
Action if Annual Budget Exceeded on MR,"Cselekvés, ha az éves költségvetés meghaladja az MR-t",
Action if Annual Budget Exceeded on PO,"Cselekvés, ha éves költségvetés meghaladja a PO-t",
Actions,Műveletek,
Actions performed,Végrehajtott  műveletek,
Active,Aktív,
Active Leads,Aktív vezetők,
Activities,Tevékenységek,
Activity,Tevékenység,
Activity Cost,Tevékenység költsége,
Activity Cost exists for Employee {0} against Activity Type - {1},Tevékenység Költség létezik a {0} alkalmazotthoz ehhez a tevékenység típushoz - {1},
Activity Cost per Employee,Alkalmazottankénti Tevékenység költség,
Activity Type,Tevékenység típusa,
Actual,Tényleges,
Actual Batch Quantity,Tényleges tételmennyiség,
Actual Cost,Tényleges költség,
Actual Date,Jelenlegi dátum,
Actual Delivery Date,Tényleges kézbesítés dátuma,
Actual End Date,Tényleges befejezési dátum,
Actual End Date (via Timesheet),Tényleges befejezés dátuma (Idő nyilvántartó szerint),
Actual End Time,Tényleges befejezési időpont,
Actual Operating Cost,Tényleges működési költség,
Actual Operation Time,Aktuális üzemidő,
Actual Qty,Aktuális menny.,
Actual Qty (at source/target),Tényleges Mennyiség (forrásnál / célnál),
Actual Qty is mandatory,Tényleges Mennyiség ami kötelező,
Actual Qty {0} / Waiting Qty {1},Tényleges Menny {0} / Várakozó Menny {1},
Actual Qty: Quantity available in the warehouse.,Tényleges Mennyiség: rendelkezésre álló mennyiség a raktárban.,
Actual Quantity,Tényleges Mennyiség,
Actual Start Date,Tényleges kezdési dátum,
Actual Start Date (via Timesheet),Tényleges kezdési dátum (Idő nyilvántartó szerint),
Actual Start Time,Tényleges kezdési idő,
Actual Time and Cost,Tényleges idő és költség,
Actual Time in Hours (via Timesheet),Tényleges idő (óra),
Actual qty in stock,Tényleges Mennyiség a raktáron,
Actual type tax cannot be included in Item rate in row {0},Tényleges adó típust nem lehet hozzárendelni a Tétel értékéhez a {0} sorban,
Add,Hozzáadás,
Add / Edit Prices,Árak hozzáadása / szerkesztése,
Add Child,Al csoport hozzáadása,
Add Comment,Megjegyzés hozzáadása,
Add Customers,Vevők hozzáadása,
Add Employees,Alkalmazottak hozzáadása,
Add Item,Tétel hozzáadása,
Add Items,Tételek hozzáadása,
Add Leads,Lehetőségek hozzáadása,
Add Multiple,Többszörös hozzáadás,
Add Multiple Tasks,Több feladat hozzáadása,
Add Order Discount,Rendelési kedvezmény hozzáadása,
Add Participants,Résztvevők hozzáadása,
Add Quote,Idézet hozzáadása,
Add Sales Partners,Értékesítési partnerek hozzáadása,
Add Serial No,Széria szám hozzáadása,
Add Suppliers,Szállítók hozzáadása,
Add Timesheets,Munkaidő nyilvántartó jelenléti ív hozzáadása,
Add Weekly Holidays,Heti ünnepek hozzáadása,
Add items in the Item Locations table,Tegyen fel elemeket az Elemek helye táblázatba,
Add or Deduct,Hozzáad vagy levon,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,"Adjuk hozzá a többi a szervezet, mint a felhasználók számára. Azt is hozzá meghívni ügyfelek a portál hozzáadásával őket Kapcsolatok",
Add to Holidays,Add hozzá az ünnepekhez,
Add to Transit,Hozzáadás a tömegközlekedéshez,
Add/Edit Coupon Conditions,Kuponfeltételek hozzáadása / szerkesztése,
Added,Hozzáadott,
Added {0} ({1}),Hozzáadva: {0} ({1}),
Additional Cost,Járulékos költség,
Additional Costs,További költségek,
Additional Details,További részletek,
Additional Discount,További kedvezmény,
Additional Discount Amount,További kedvezményes összeg,
Additional Discount Amount (Company Currency),További kedvezmény összege (Vállalat pénznemében),
Additional Discount Percentage,További kedvezmény százalék,
Additional Information,további információ,
Additional Notes,További megjegyzések,
Additional Operating Cost,További üzemeltetési költség,
Additional information regarding the customer.,További információt az ügyfélről.,
Address,Cím,
Address & Contact,Cím & Kapcsolattartó,
Address & Contacts,Címek és Kapcsolattartók,
Address Desc,Cím leírása,
Address HTML,HTML Cím,
Address Line 1,1. cím sor,
Address Line 2,2. cím sor,
Address Name,Cím Neve,
Address and Contact,Cím és kapcsolattartó,
Address and Contacts,Cím és Kapcsolatok,
Address needs to be linked to a Company. Please add a row for Company in the Links table.,"A címet társítani kell egy vállalathoz. Kérjük, adjon meg egy sort a Vállalat számára a Linkek táblában.",
Address used to determine Tax Category in transactions,Az adókategória meghatározásához használt cím a tranzakciókban,
Addresses,Címek,
Administrative Expenses,Igazgatási költségek,
Administrator,Rendszergazda,
Advance Account,Előleg számla,
Advance Amount,Előleg összege,
Advance Paid,A kifizetett előleg,
Advance Payments,Előleg kifizetések,
Advance amount,Előleg összege,
Advance amount cannot be greater than {0} {1},"Előleg összege nem lehet nagyobb, mint {0} {1}",
Advanced Settings,További beállítások,
Advances,Előlegek,
Against,Ellen,
Against Account,Ellen számla,
Against Blanket Order,A takarórend ellen,
Against Default Supplier,Alapértelmezett szállítóval szemben,
Against Delivery Note Item,Szállítólevél-tétel ellen,
Against Docname,Ellen Doknév,
Against Doctype,Ellen Doctype,
Against Document Detail No,Ellen Dokument Részlet sz.,
Against Document No,Ellen Dokument sz.,
Against Expense Account,Ellen költség számla,
Against Income Account,Elleni jövedelem számla,
Against Journal Entry {0} does not have any unmatched {1} entry,Ellen Naplókönyvelés {0} nem rendelkezik egyeztetett {1} bejegyzéssel,
Against Journal Entry {0} is already adjusted against some other voucher,Ellen Naplókönyvelés {0} már hozzáigazított egy pár bizonylat értékével,
Against Sales Invoice,Értékesítési ellenszámlák,
Against Sales Invoice Item,Ellen Értékesítési tétel számlák,
Against Sales Order,Vevői rendelések ellen,
Against Sales Order Item,Vevői rendelési tétel ellen,
Against Stock Entry,A készletbejegyzés ellen,
Against Supplier Invoice {0} dated {1},Beszállító Ellenszámla {0} dátuma {1},
Against Voucher,Ellen bizonylat,
Against Voucher Type,Ellen-bizonylat típusa,
Age,Életkor,
Age (Days),Életkor (napok),
Ageing Based On,Öregedés ezen alapszik,
Ageing Range 1,Öregedés tartomány 1,
Ageing Range 2,Öregedés tartomány 2,
Ageing Range 3,Öregedés tartomány 3,
Ageing Range 4,Öregedési tartomány 4,
Agenda,Napirend,
Agent Details,Az ügynök adatai,
Agents,minőségben,
Agriculture Manager,Mezőgazdasági igazgató,
Agriculture User,Mezőgazdaság felhasználó,
All,Összes,
All Accounts,Minden fiók,
All BOMs,minden anyagjegyzéket,
All Contact,Összes Kapcsolattartó,
All Customer Contact,Összes vevői Kapcsolattartó,
All Customer Groups,Összes vevői csoport,
All Day,Minden nap,
All Departments,Összes részleg,
All Employee (Active),Összes alkalmazott (Aktív),
All Item Groups,Összes tétel csoport,
All Lead (Open),Összes Érdeklődés (Nyitott),
All Sales Partner Contact,Összes értékesítő partner kapcsolata,
All Sales Person,Összes értékesítő,
All Supplier Contact,Összes beszállítói Kapcsolat,
All Supplier Groups,Összes beszállítói csoport,
All Territories,Összes Terület,
All Warehouses,Összes Raktár,
All communications including and above this shall be moved into the new Issue,"Minden kommunikációt, beleértve a fentieket is, át kell helyezni az új garanciális ügybe",
All items have already been Invoiced/Returned,Az összes tétel már számlázott / visszaküldött,
All items have already been transferred for this Work Order.,Az összes tétel már átkerült ehhez a Munka Rendeléshez.,
All these items have already been Invoiced/Returned,Mindezeket a tételeket már számlázták / visszaküldték,
Allocate,Feloszott,
Allocate Advances Automatically (FIFO),Automatikusan felosztott előlegek (FIFO),
Allocate Payment Amount,Osztja fizetés összege,
Allocate Payment Based On Payment Terms,Kiosztani a fizetést a fizetési feltételek alapján,
Allocated,Lekötött,
Allocated Amount,Lekötött összeg,
Allocated amount,Lekötött összeg,
Allocated amount cannot be greater than unadjusted amount,"A kiosztott összeg nem lehet nagyobb, mint a nem igazított összeg",
Allocated amount cannot be negative,A kiosztott összeg nem lehet negatív,
Allocation,Kiosztás,
Allotted Qty,Kiosztott mennyiség,
Allow Account Creation Against Child Company,A fiók létrehozásának engedélyezése a gyermekvállalkozások ellen,
Allow Alternative Item,Alternatív tétel engedélyezése,
Allow In Returns,Engedélyezz viszonzva,
Allow Item To Be Added Multiple Times in a Transaction,Tétel többszörös hozzáadásának engedélyezése egy tranzakció során,
Allow Material Transfer from Delivery Note to Sales Invoice,Anyagátadás engedélyezése a szállítólevéltől az értékesítési számláig,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Anyagátvitel engedélyezése a vásárlási nyugtáról a vásárlási számlára,
Allow Multiple Material Consumption,Többféle anyagfelhasználás engedélyezése,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Több értékesítési megrendelés engedélyezése az ügyfél megrendelése ellen,
Allow Negative Stock,Negatív készlet engedélyezése,
Allow Overtime,Túlóra engedélyezése,
Allow Production on Holidays,Termelés engedélyezése az ünnepnapokon,
Allow Purchase Invoice Creation Without Purchase Order,Vásárlási számla létrehozásának engedélyezése megrendelés nélkül,
Allow Purchase Invoice Creation Without Purchase Receipt,Vásárlási számla létrehozásának engedélyezése vásárlási nyugta nélkül,
Allow Rename Attribute Value,Engedélyezze az attribútum érték átnevezését,
Allow Resetting Service Level Agreement,Engedélyezze a szolgáltatási szintű megállapodás visszaállítását,
Allow Resetting Service Level Agreement from Support Settings.,Engedélyezze a szolgáltatási szintű megállapodás visszaállítását a támogatási beállításokból.,
Allow Sales Invoice Creation Without Delivery Note,Engedélyezze az értékesítési számla létrehozását szállítólevél nélkül,
Allow Sales Invoice Creation Without Sales Order,Értékesítési számla létrehozásának engedélyezése értékesítési megrendelés nélkül,
Allow Stale Exchange Rates,Engedélyezze az átmeneti árfolyam értékeket,
Allow User to Edit Price List Rate in Transactions,"Engedje meg a felhasználónak, hogy szerkessze az árlistát a tranzakciókban",
Allow Zero Valuation Rate,Engedélyezi a nulla készletérték árat,
Allowed To Transact With,Tranzakcióhoz ezzel engedélyezése,
Already record exists for the item {0},Már létezik rekord a(z) {0} tételre,
"Already set default in pos profile {0} for user {1}, kindly disabled default","Már beállította a {0} pozícióprofilban a {1} felhasználó számára az alapértelmezett értéket,  kérem tiltsa le az alapértelmezettet",
Alternate Item,Alternatív tétel,
Alternative Item Code,Alternatív tétel kód,
Alternative Item Name,Alternatív tétel név,
Alternative item must not be same as item code,"Az alternatív elem nem lehet ugyanaz, mint az elem kódja",
Amended From,Módosított feladója,
Amount,Összeg,
Amount (Company Currency),Összeg (Társaság pénznemében),
Amount Delivered,Szállított összeg,
Amount Difference,Összeg különbség,
Amount In Figure,Összeg kikalkulálva,
Amount in customer's currency,Összeg ügyfél valutájában,
Amount {0} {1} against {2} {3},Összeg: {0} {1} ellenéből {2} {3},
Amount {0} {1} deducted against {2},Összeg: {0} {1} levonásra ellenéből {2},
Amount {0} {1} transferred from {2} to {3},Összeg: {0} {1} átment ebből: {2} ebbe: {3},
Amount {0} {1} {2} {3},Összeg: {0} {1} {2} {3},
Amt,Összeg,
An error occurred during the update process,Hiba történt a frissítési folyamat során,
Annual,Éves,
Annual Billing: {0},Éves számlázás: {0},
Annual Expenses,Éves költségek,
Annual Income,Éves jövedelem,
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Másik költségvetési főkönyvi belyegyzés '{0}' már létezik ehhez {1} '{2}' és ezen a folyószámlán '{3}' erre a pénzügyi évre {4},
Another Period Closing Entry {0} has been made after {1},Egy újabb Időszak záró bejegyzés {0} létre lett hozva ez után: {1},
Another Sales Person {0} exists with the same Employee id,Egy másik Értékesítő személy {0} létezik a  azonos alkalmazotti azonosító Id-vel,
Applicable Charges,Alkalmazandó díjak,
Applicable For,Alkalmazandó ehhez,
Applicable Holiday List,Alkalmazandó Ünnepek listája,
Applicable Modules,Alkalmazható modulok,
Applicable To (Designation),Alkalmazandó (Titulus),
Applicable To (Employee),Alkalmazandó (Alkalmazott),
Applicable To (Role),Alkalmazandó (Beosztás),
Applicable To (User),Alkalmazandó (Felhasználó),
Applicable for Countries,Alkalmazandó ezekhez az Országokhoz,
Applicable for Users,Alkalmazható a felhasználókra,
Applicable for external driver,Külső meghajtóhoz alkalmazható,
"Applicable if the company is SpA, SApA or SRL","Alkalmazható, ha a társaság SpA, SApA vagy SRL",
Applicable if the company is a limited liability company,"Alkalmazandó, ha a társaság korlátolt felelősségű társaság",
Applicable if the company is an Individual or a Proprietorship,"Alkalmazandó, ha a társaság magánszemély vagy vállalkozó",
Applicable on Material Request,Az anyagkérelemkor alkalmazható,
Applicable on Purchase Order,Alkalmazható a vásárlói megrendelésre,
Applicable on booking actual expenses,Alkalmazható a tényleges költségek könyvelésekor,
Application Settings,Alkalmazás beállítások,
Application of Funds (Assets),Vagyon tárgyak alkalmazás (tárgyi eszközök),
Applied Coupon Code,Alkalmazott kuponkód,
Apply Additional Discount On,Alkalmazzon további kedvezmény ezen,
Apply Discount On,Alkalmazzon kedvezmény ezen,
Apply Discount on Discounted Rate,Alkalmazzon kedvezményt a kedvezményes árfolyamon,
Apply Discount on Rate,Alkalmazzon kedvezményt az áron,
Apply Multiple Pricing Rules,Alkalmazza a többszörös árképzési szabályokat,
Apply On,Alkalmazza ezen,
Apply Rule On Brand,Alkalmazza a szabályt a márkanévre,
Apply Rule On Item Code,Alkalmazza a cikk kódját,
Apply Rule On Item Group,Alkalmazza a Szabály On Tételcsoportot,
Apply Rule On Other,Alkalmazza a szabályt máson,
Apply Tax Withholding Amount,Adja meg az adóvisszatérítés összegét,
Appointment,Vizit időpont egyeztetés,
Appointment Booking Settings,Kinevezés Foglalási beállítások,
Appointment Booking Slots,Kinevezés Foglalási résidők,
Appointment Confirmation,Vizit időpont megerősítése,
Appointment Details,A kinevezés részletei,
Appointment Duration (In Minutes),Kinevezés időtartama (percben),
Appointment With,Kinevezés,
Approving Role (above authorized value),Jóváhagyó beosztása (a fenti engedélyezett érték),
Approving Role cannot be same as role the rule is Applicable To,"Jóváhagyó beosztás nem lehet ugyanaz, mint a beosztás melyre a szabály alkalmazandó",
Approving User  (above authorized value),Jóváhagyó felhasználó (az engedélyezett érték felett),
Approving User cannot be same as user the rule is Applicable To,"Jóváhagyó felhasználót nem lehet ugyanaz, mint a felhasználó a szabály alkalmazandó",
Area,Terület,
Area UOM,Terület ME,
Arrival Quantity,Érkezési mennyiség,
As On Date,Mivel a dátum,
As per Stock UOM,Készlet mértékegysége szerint,
"As the field {0} is enabled, the field {1} is mandatory.","Mivel a {0} mező engedélyezve van, a {1} mező kötelező.",
"As the field {0} is enabled, the value of the field {1} should be more than 1.","Mivel a {0} mező engedélyezve van, a {1} mező értékének 1-nél nagyobbnak kell lennie.",
"As there are sufficient raw materials, Material Request is not required for Warehouse {0}.","Mivel elegendő alapanyag van, a raktárhoz {0} nem szükséges anyagkérelem.",
Asset,vagyontárgy,
Asset Account,Vagyontárgy-számla,
Asset Category,Vagyontárgy kategória,
Asset Category Account,Vagyontárgy kategória főkönyvi számla,
Asset Category Name,Vagyontárgy Kategória neve,
Asset Category is mandatory for Fixed Asset item,Vagyontárgy Kategória kötelező befektetett eszközök tételeire,
Asset Depreciation Cost Center,Vagyontárgy Értékcsökkenés Költséghely,
Asset Depreciation Ledger,Vagyontárgy Értékcsökkenés Főkönyvi kivonat,
Asset Depreciations and Balances,Vagyontárgy Értékcsökkenés és egyenlegek,
Asset Details,Vagyontárgy adatok,
Asset Finance Book,Vagyontárgyfinanszírozási könyv,
Asset Location,Vagyontárgy helye,
Asset Maintenance,Vagyontárgy karbantartás,
Asset Maintenance Log,Vagyontárgy karbantartási napló,
Asset Maintenance Task,Vagyontárgy karbantartási feladat,
Asset Maintenance Team,Vagyontárgy karbantartó csoport,
Asset Movement,Vagyontárgy mozgás,
Asset Movement Item,Eszközmozgási tétel,
Asset Movement record {0} created,Vagyontárgy mozgás bejegyzés {0} létrehozva,
Asset Name,Vagyontárgy neve,
Asset Naming Series,Vagyontárgy elnevezési sorozat,
Asset Owner,Vagyontárgy tulajdonos,
Asset Owner Company,Vagyontárgy tulajdonló vállalkozás,
Asset Received But Not Billed,"Befogadott vagyontárgy, de nincs számlázva",
Asset Repair,Vagyontárgy javítás,
Asset Status,Vagyontárgy állapota,
Asset Value,Eszközérték,
Asset Value Adjustment,Vagyontárgy érték-beállítás,
Asset Value Adjustment cannot be posted before Asset's purchase date <b>{0}</b>.,Az eszközérték kiigazítása nem vonható be az eszköz <b>{0}</b> beszerzési dátuma előtt.,
Asset Value Analytics,Eszközérték elemzése,
"Asset cannot be cancelled, as it is already {0}","Vagyontárgy nem törölhető, mivel ez már {0}",
Asset scrapped via Journal Entry {0},Vagyonieszköz kiselejtezett a {0} Naplókönyvelés keresztül,
